2016 rank,City,State[5],2016 estimate,2010 Census,Change,2016 land area,2016 population density,Location
34,Fresno,California,"522,053","494,665",+5.54%,114.4sqmi,296.3km2,"4,563/sqmi","1,762/km2",364701N 1194736W / 36.7836N 119.7934W
35,Sacramento,California,"495,234","466,488",+6.16%,97.9sqmi,253.6km2,"5,059/sqmi","1,953/km2",383400N 1212807W / 38.5666N 121.4686W
36,Mesa,Arizona,"484,587","439,041",+10.37%,137.9sqmi,357.2km2,"3,514/sqmi","1,357/km2",332407N 1114303W / 33.4019N 111.7174W
37,Kansas City,Missouri,"481,420","459,787",+4.71%,315.0sqmi,815.8km2,"1,528/sqmi",590/km2,390730N 943304W / 39.1251N 94.5510W
38,Atlanta,Georgia,"472,522","420,003",+12.50%,133.5sqmi,345.8km2,"3,539/sqmi","1,366/km2",334546N 842522W / 33.7629N 84.4227W
39,Long Beach,California,"470,130","462,257",+1.70%,50.3sqmi,130.3km2,"9,347/sqmi","3,609/km2",334833N 1180919W / 33.8092N 118.1553W
40,Colorado Springs,Colorado,"465,101","416,427",+11.69%,195.6sqmi,506.6km2,"2,378/sqmi",918/km2,385202N 1044539W / 38.8673N 104.7607W
41,Raleigh,North Carolina,"458,880","403,892",+13.61%,145.1sqmi,375.8km2,"3,163/sqmi","1,221/km2",354950N 783830W / 35.8306N 78.6418W
42,Miami,Florida,"453,579","399,457",+13.55%,36.0sqmi,93.2km2,"12,599/sqmi","4,865/km2",254631N 801231W / 25.7752N 80.2086W
43,Virginia Beach[16],Virginia,"452,602","437,994",+3.34%,244.7sqmi,633.8km2,"1,850/sqmi",710/km2,364648N 760131W / 36.7800N 76.0252W
44,Omaha,Nebraska,"446,970","408,958",+9.29%,133.2sqmi,345.0km2,"3,356/sqmi","1,296/km2",411552N 960242W / 41.2644N 96.0451W
45,Oakland,California,"420,005","390,724",+7.49%,55.9sqmi,144.8km2,"7,514/sqmi","2,901/km2",374611N 1221333W / 37.7698N 122.2257W
46,Minneapolis,Minnesota,"413,651","382,578",+8.12%,54.0sqmi,139.9km2,"7,660/sqmi","2,960/km2",445748N 931606W / 44.9633N 93.2683W
47,Tulsa,Oklahoma,"403,090","391,906",+2.85%,196.8sqmi,509.7km2,"2,048/sqmi",791/km2,360740N 955408W / 36.1279N 95.9023W
48,Arlington,Texas,"392,772","365,438",+7.48%,95.8sqmi,248.1km2,"4,100/sqmi","1,600/km2",324203N 970729W / 32.7007N 97.1247W
49,New Orleans[17],Louisiana,"391,495","343,829",+13.86%,169.4sqmi,438.7km2,"2,311/sqmi",892/km2,300312N 895604W / 30.0534N 89.9345W
50,Wichita,Kansas,"389,902","382,368",+1.97%,160.4sqmi,415.4km2,"2,431/sqmi",939/km2,374127N 972045W / 37.6907N 97.3459W
51,Cleveland,Ohio,"385,809","396,815",2.77%,77.7sqmi,201.2km2,"4,965/sqmi","1,917/km2",412843N 814046W / 41.4785N 81.6794W
52,Tampa,Florida,"377,165","335,709",+12.35%,113.4sqmi,293.7km2,"3,326/sqmi","1,284/km2",275812N 822847W / 27.9701N 82.4797W
53,Bakersfield,California,"376,380","347,483",+8.32%,148.8sqmi,385.4km2,"2,529/sqmi",976/km2,351916N 1190106W / 35.3212N 119.0183W
54,Aurora,Colorado,"361,710","325,078",+11.27%,153.5sqmi,397.6km2,"2,356/sqmi",910/km2,394117N 1044123W / 39.6880N 104.6897W
55,Honolulu[2],Hawaii,"351,792","337,256",+4.31%,60.5sqmi,156.7km2,"5,815/sqmi","2,245/km2",211927N 1575051W / 21.3243N 157.8476W
56,Anaheim,California,"351,043","336,265",+4.39%,50.0sqmi,129.5km2,"7,021/sqmi","2,711/km2",335120N 1174536W / 33.8555N 117.7601W
57,Santa Ana,California,"334,217","324,528",+2.99%,27.1sqmi,70.2km2,"12,333/sqmi","4,762/km2",334411N 1175259W / 33.7363N 117.8830W
58,Corpus Christi,Texas,"325,733","305,215",+6.72%,174.6sqmi,452.2km2,"1,866/sqmi",720/km2,274515N 971024W / 27.7543N 97.1734W
59,Riverside,California,"324,722","303,871",+6.86%,81.2sqmi,210.3km2,"3,999/sqmi","1,544/km2",335617N 1172336W / 33.9381N 117.3932W
60,Lexington[18],Kentucky,"318,449","295,803",+7.66%,283.6sqmi,734.5km2,"1,123/sqmi",434/km2,380227N 842730W / 38.0407N 84.4583W
