X,Y,OBJECTID,NAME,ADDRESS,UNIT_SUITE,ZIP_4,CONTACT,SEC_NAME,NAICS,CENSUS_TRACT,WARD
-76.9945648825552,38.9303601535627,132,COYABA DANCE THEATER INC,3225 8TH ST NE,,20017-3502,SYLVIA HALL,,711120,009201,5
-77.0039012445157,38.8834350948928,133,ASIAN PACIFIC ISLANDER AMERICAN ASSOCIATION OF COLLEGES AND UNIVER,144 E ST SE,,20003-2613,RUBY G MOY,,710000,006500,6
-77.0197125698413,38.9281792361393,134,HOLLOWAY VENTURES VISUAL ARTS & ACADEMIC INSTITUTE,415 HOBART PL NW,,20001-2911,RANDALL C HOLLOWAY,HOLLOWAY VENTURES,611610,003200,1
-77.0772568437992,38.9368018983668,135,ART ON CALL COMMITTEE,3551 39TH STREET NW,B-512,20016-3074,JANET D TENNILLE,,710000,001002,3
-77.0732233421474,38.93128969959,136,THE BRITISH PLAYERS,3130 WISCONSIN AVE NW,319,20016-5014,JOHN B NICOL,,711110,000701,3
-77.0779091461536,38.928400135774,137,CAPITAL CITY PLAYERS OF WASHINGTON DC,3900 CATHEDRAL AVE NW,506A,20016-5296,CHRISTOPHER TULLY,,711110,000701,3
-77.1028384069172,38.9275044386419,138,ALLIANCE FOR NEW MUSIC-THEATRE,2807 N GLADE ST NW,,20016-3422,SUSAN K GALBRAITH,,711130,000902,3
-77.0429213238888,38.9078941809996,139,AMERICAN OVERSEAS MEMORIAL DAY ASSOCIATION FOUNDATION,1330 CONNECTICUT AVENUE NW,,20036-1704,STEPTOE & JOHNSON LLP,,712120,010700,2
-77.0544576873068,38.9269002897448,140,MUSICIANSHIP INC,2621 GARFIELD ST NW,,20008-4103,JEFFREY TRIBBLE,THE MUSICIANSHIP,711130,000502,3
-76.9714779436696,38.9323071890271,141,STEWART MUSICAL PRODUCTIONS LTD,2406 LAWRENCE ST NE,,20018-2916,JAY D BROCK,LIMELIGHT,711130,009400,5
-77.0830951679373,38.9350920810328,142,LAUREL FUND FOR THE PERFORMING ARTS INC,4200 MASS AVE NW,713,20016-4734,ELVI MOORE,,711100,000801,3
-76.9738345444896,38.9304831974822,143,ART ENABLES,2204 RHODE ISLAND AVE NE,,20018-2827,,,710000,009400,5
-77.0419468718915,38.9157680059646,144,DC COWBOYS DANCE COMPANY INC,1801 T ST NW,D,20009-0000,KEVIN PLATTE,,711120,004202,2
-77.084089425842,38.9583891387578,145,CHORAL ARTS SOCIETY OF WASHINGTON,5225 WISCONSIN AVE NW,603,20015-2024,NORMAN SCRIBNER,,711130,001100,3
-77.0349227390632,38.9224889088633,146,VIETNAMESE-AMERICAN COMMUNITY SERVICE CENTER INC,2437 15TH ST NW,B,20009-4101,HIEN VU,,710000,003700,1
-77.0315766435372,38.8992683344036,147,INTER-AMERICAN CULTURE AND DEVELOPMENT FOUNDATION,1350 NEW YORK AVE NW,,20577-0008,MARIA ELENA SCHACKNIES,,813219,005800,2
-77.0291463641296,38.9033892091193,148,MOROCCAN-AMERICAN CULTURAL CENTER INC,1220 L ST NW STE,411,20005-4018,EDWARD M GABRIEL,,710000,010100,2
-77.0452601851886,38.9029950066311,149,THE US FEDERATION OF FRIENDS OF MUSEUMS,2001 K ST NW STE,400,20006-1040,JOHN W BARNUM,,813219,010700,2
-77.0457870966507,38.9034153113743,150,WASHINGTON PERFORMING ARTS SOCIETY,2000 L ST NW STE,510,20036-4918,,,711100,010700,2
-77.0164474782315,38.8929983781618,151,THE HISTORICAL SOCIETY OF THE DISTRICT OF COLUMBIA CIRCUIT,333 CONSTITUTION AVE NW,4826,20001-2850,DANIEL M GRIBBON ESQ US CT HOUSE,, ,005900,2
-77.0350301194191,38.9053913211368,152,CHORUS AMERICA ASSOCIATION,1156 15TH ST NW,310,20005-1747,,,813920,010100,2
-77.0438698046737,38.9016477065628,153,ARTISTS AND ATHLETES ALLIANCE,900 19TH ST NW,8th Floor,20006-2105,STEVEN ROSS,,813319,010700,2
-77.0413498721324,38.9031577057153,154,AMERICAN AUSTRIAN CULTURAL SOCIETY,1015 18TH ST NW,210,20036-5217,STEVEN SCHOTT,,710000,010700,2
-77.0928723067046,38.9517209650445,155,NOTEBUSTERS,4720 47TH ST NW,,20016-4439,SHELLIE WOOD,,710000,001001,3
-77.0230945000765,38.9255709794186,156,POSITIVE PRODUCTIONS INC,2714 GEORGIA AVE NW,,20001-3817,C/O SHIRIKIANA GERIMA,,711100,003500,1
-77.0453307941797,38.9136005973297,157,VIETNAM WOMENS MEMORIAL FOUNDATION INC,1735 CONNECTICUT AVE NW,3,20009-1187,,,712120,004202,2
-77.0348270498355,38.9147483493366,158,DCENTER INC,1504 SWANN ST NW,,20009-3942,JULIAN HUNT,,511100,004300,2
-77.0359563331379,38.917220975356,159,CONGRESSIONAL CLUB MUSEUM AND FOUNDATION,2001 NH AVE NW,,20009-3414,,,712110,004300,1
-77.0159731542232,38.9156623800431,160,ROBERT AND MARY CHURCH TERRELL HOUSE AND LEDROIT PARK MUSEUM,1862 3RD ST NW,,20001-1888,ALICE AUGHTRY,,712110,003400,1
-77.0781087331118,38.9168828573239,161,ACCENT RADIO AND TELEVISION PRODUCTIONS INC,4016 HIGHWOOD CT NW,,20007-2131,ZOHREH RASTEGAR,,513120,000300,2
-76.9898426402752,38.8664781174801,162,THEATER ALLIANCE OF WASHINGTON DC,2020 SHANNON PL SE,,20020-5729,COLIN HOVDE,,711110,007503,8
-77.0590287447914,38.9075572674126,163,CENTRAL AND EASTERN EUROPEAN ART FOUNDATION,2920 DUMBARTON ST NW,,20007-3337,,,813219,000100,2
-77.0631622190391,38.9050170927216,164,CITY TAVERN PRESERVATION FOUNDATION,3206 M ST NW,,20007-3615,,, ,000202,2
-77.0397427304576,38.8958544638219,165,TRUSTEES OF THE CORCORAN GALLERY OF ART,500 17TH ST NW,,20006-0000,,,712110,010800,2
-77.0359945077724,38.9444210147767,166,WASHINGTON MOSAIC,4401 16TH ST NW,,20011-7013,,,710000,002501,4
-77.0379927398469,38.9573290608852,167,THE TAKOMA MANDOLEERS,1623 KENNEDY PL NW,,20011-6826,CYNTHIA NORDONE TREASURER,,711110,002001,4
-77.0472004906419,38.8999021195183,168,MAIDA WITHERS AND THE DANCE CONSTRUCTION COMPANY,800 TWENTY FIRST ST NW,220,20052-0028,MAIDA WITHERS,,711120,010800,2
-77.0457342686414,38.9015761858231,169,ARTS CLUB OF WASHINGTON,2017 I ST NW,,20006-1804,,,712120,010700,2
-77.0388286541894,38.9033707176814,170,DAILY CALLER NEWS FOUNDATION,1050 17TH ST NW,900,20036-5513,NEIL PATEL,,511100,010700,2
-77.038993789894,38.9011317255116,171,MARITIME ARCHAEOLOGICAL AND HISTORICAL SOCIETY,1634 EYE STREET NW,205,20006-4020,EARL F GLOCK,LEFFANT PLAZA,710000,010700,2
-77.0221795499457,38.8955840936136,172,AFRICAN AMERICAN HERITAGE PRESERVATION FOUNDATION INC,420 7TH ST NW,501,20004-2211,E RENEE INGRAM,, ,005800,2
-77.0130688581615,38.8927929637844,173,WASHINGTON POLITICAL FILM FOUNDATION,101 CONSTITUTION AVE NW,710E,20001-2133,,,512110,005900,6
-77.0408035871781,38.906094891353,174,AMERICAN PATRONS OF THE PINAKOTHEK TRUST,1201 CONNECTICUT AVE NW,200,20036-2636,RUBIN WINSTON,,813219,010700,2
-76.9988666515948,38.9280475704278,175,WASHINGTON THEOLOGICAL CONSORTIUM,3025 4TH ST NE,,20017-1101,,,710000,009201,5
-77.036895221838,38.9411390140854,176,JOURNEYMEN THEATER ENSEMBLE INC,4100 16TH ST NW,,20011-7004,DEBORAH KIRBY,,711110,002600,4
-77.0126528300455,38.880996804572,177,SHEN ZHOU FILM STUDIO,106 G ST SW,,20024-4303,JINWEI WANG,,512110,010500,6
-77.0323513290644,38.9312921254959,178,ASIAN PACIFIC AMERICAN FILM INC,1380 MONROE ST NW,506,20010-3452,ERIC PALER,,512110,002900,1
-77.065074607665,38.9101443167955,179,NATIONAL CONSERVATORY OF DRAMATIC ARTS,1556 WISCONSIN AVE NW,,20007-2758,CLAUDIA H DULMAGE,,611610,000202,2
-76.9928988347115,38.8814630982725,180,EAST CITY ART FOUNDATION INC,922 G ST SE,,20003-2818,PHILIP HUTINET,,813219,007000,6
-76.9907770381214,38.9332458175339,181,YOUNG PLAYWRIGHTS THEATER INC,3523 12TH STREET NE,2nd Floor,20017-2561,,,711110,009301,5
-77.0262856943721,38.8967040627612,182,FORD S THEATRE SOCIETY,514 10TH STREET NW,,20004-1407,,,711110,005800,2
-77.03108432435,38.8980489142668,183,ARMENIAN GENOCIDE MUSEUM AND MEMORIAL INC,1334 G ST NW,200,20005-3118,JOHN J WATERS JR,,712110,005800,2
-77.0175535196713,38.8977625627772,184,NATIONAL BUILDING MUSEUM,401 F STREET NW,,20001-2637,,,712110,005900,2
-76.9828955644095,38.9058721336026,185,CIRCLE OF WORLD ART INC,1343 CHILDRESS ST NE,,20002-2515,JACQUELINE BOWLES,,711120,008804,5
-76.9651080044026,38.865432964826,186,THE DOUBLE NICKELS THEATRE COMPANY INC,2909 PARK DR SE,,20020-3348,ANTOINETTE FORD,,711110,007604,7
-77.0534762378258,38.9262300736953,187,AMERICAN KURDISH INFORMATION NETWORK,2722 CONNECTICUT AVE NW,42,20008-5316,KANI XULAM,,710000,000502,3
-77.0468819006129,38.9040107798711,188,THE AMERICAN ARCHITECTURAL FOUNDATION INC,2101 L STREET NW,,20037-1526,,,710000,010700,2
-77.034217558177,38.9039408567305,189,ASPEN ARTS FOUNDATION,1101 15TH ST NW,202,20005-5002,,,813219,010100,2
-77.0361782175509,38.904071067309,190,CITYDANCE ENSEMBLE INC,1111 16TH ST NW,300,20036-4830,,,711130,010100,2
-77.0403523743602,38.90351523583,191,NATIONAL HISPANIC FOUNDATION FOR THE ARTS,1050 CONNECTICUT AVE NW,10th Floor,20036-0000,,,710000,010700,2
-77.0653631930319,38.934431052729,192,EDUCATIONAL FILM CENTER,3314 NEWARK ST NW,,20008-3330,,,512110,000600,3
-77.051890012836,38.9249045839727,193,GLOBAL ALLIANCE FOR ARTS & HEALTH,2647 CONNECTICUT AVE NW,,20008-1500,,,611610,000501,3
-77.0923728483618,38.951609658107,194,PHILIPPINE ARTS LETTERS AND MEDIA COUNCIL INC,4715 47TH ST NW,,20016-4438,MALCOLM CHURCHILL,,710000,001001,3
-77.0211905276896,38.8934147916317,195,MEMORIAL FOUNDATION,633 PENNSYLVANIA AVE NW,3rd Floor,20004-2605,RICHARD MARSHALL,,710000,005800,2
-77.0554969086582,38.8996515535527,196,LAWYERS COMMITTEE FOR CULTURAL HERITAGE PRESERVATION,2600 VIRGINIA AVE NW,1000,20037-1922,NATIONAL TRUST FOR HISTORIC PRESE,,710000,005600,2
-77.0278467287953,38.8954160450644,197,PENTAGON MEMORIAL FUND INC,1111 PENNSYLVANIA AVE NW,,20004-2541,THE WEBSTER GROUP,,712120,005800,2
-77.0148516995185,38.8975620510383,198,FESTA ITALIANA FOUNDATION OF WASHINGTON DC,595 3RD ST NW,,20001-2703,FESTA ITALIANA FND OF WA DC,,710000,005900,2
-77.0098275297491,38.8958298226927,199,NATIONAL CONFERENCE OF STATE HISTORIC PRESERVATION OFFICERS,444 N CAPITOL ST NW,342,20001-1538,,,813920,005900,6
-77.0494910881532,38.9167584031684,200,AMERICAN INITIATIVE FOR ITALIAN CULTURE,2206 WYOMING AVE NW,,20008-3908,MARIA GLIOZZI,,710000,004100,2
-77.0467697701492,38.9176181083594,201,CAPITALBOP INC,2029 CONNECTICUT AVE NW,,20008-6142,GIOVANNI RUSSONELLO,,711130,004001,1
-77.0420418336133,38.9094409637521,202,WADSWORTH-SULGRAVE HISTORIC PRESERVATION FOUNDATION,1801 MASS AVE NW,,20036-1804,DIANE POWERS,, ,005301,2
-77.0210954711428,38.9153469964039,203,HOWARD THEATRE RESTORATION INC,620 T ST NW,,20001-5117,TREASURER,,711110,004801,1
-77.038857478064,38.9128763168029,204,VA-NATIONAL MEDICAL MUSICAL GROUP,1700 17TH ST NW,508,20009-2498,VICTOR S WAHBY,,711130,005301,2
-77.0742702148351,38.9632760134606,205,HEXAGON INC,5505 CONNECTICUT AVENUE NW,,20015-2601,SHARON DYER,,711110,001401,3
-77.0738272618528,38.9626260780469,206,ART OF STEWARDSHIP INC,5431 CONNECTICUT AVE NW,101,20015-0000,BRAD CLARK,,710000,001401,3
-77.0755408509689,38.9623296027608,207,BOSNIAN HANDICRAFTS INC,3813 LEGATION ST NW,,20015-2701,PEGGY BARRY,,710000,001100,3
-77.0762442026679,38.9654369040425,208,ART AND REMEMBRANCE INC,5614 CONNECTICUT AVENUE NW,131,20015-2604,,,710000,001100,3
-77.0727745135083,38.9218371000539,209,WASHINGTON SAENGERBUND,2434 WISCONSIN AVE NW,,20007-1845,RUDOLPH BECKER,,710000,000300,3
-77.0042850517451,38.9274860991151,210,PAN AMERICAN SYMPHONY ORCHESTRA,125 MICHIGAN AVE NE,,20017-1004,MAUREEN A DUNN,,711130,009201,5
-77.0858795632246,38.9322217328198,211,DC INDEPENDENT FILM FESTIVAL,3115 44TH ST NW,,20016-3552,CAROL BIDAULT,,512110,000801,3
-77.044690579992,38.9098460768191,212,DUPON FESTIVAL,9 DUPONT CIR NW,,20036-1108,MICHAEL FELDSTEIN,DUPONT FESTIVAL,713990,005500,2
-77.0451529938602,38.9117768375173,213,ATLAS PREFORMING ARTS CENTER,1614 20TH ST NW,,20009-1001,JANE LANG,,711100,005500,2
-77.0468545459039,38.9115097908616,214,PHILLIPS COLLECTION,1600 21ST ST NW,,20009-1003,,,712110,005500,2
-77.1049634831439,38.9270037585915,215,MOVING FORWARD CONTEMPORARY ASIAN AMERICAN DANCE CO,2745 ARIZONA AVE NW,,20016-2538,,,711120,000902,3
-77.0201960525404,38.9429415074653,216,WASHINGTON GIRLS CHORUS,29 GRANT CIR NW,,20011-4601,JONATHAN WILLEN,,711130,002400,4
-77.0203604205083,38.8771256190821,217,WASHINGTON DRAMA SOCIETY INC,1101 6TH ST SW,,20024-2605,,,711110,010200,6
-76.9976702930746,38.8877489814122,218,ARTISTS BLOC,626 INDEPENDENCE AVE SE,102,20003-1253,ROY A GROSS,,611610,006600,6
-76.9997388789413,38.9261199762463,219,THE SANCTUARY THEATRE,2814 5TH ST NE,,20017-1301,ELIZABETH BRUCE,,711110,009201,5
-76.9909373489658,38.9015246112867,220,SL DANCE AND PERFORMANCE ARTS ACADEMY INC,1112 I STREET NE,,20002-7145,SHAKEYUA HINES,,611610,008410,6
-77.0635636913537,38.9090573005935,221,STATES OF MINDS,3206 P ST NW,,20007-2744,LYSBETH SHERMAN,,512110,000100,2
-77.0787812957363,38.9394903087854,222,FRIDAY MORNING MUSIC CLUB FOUNDATION INCORPORATED,3820 39TH ST NW,D-118,20016-2831,FRANK CONLON,,813219,001002,3
-76.9930779098656,38.9577918386356,223,YOUTH IN THE ARTS-IMAGINE,855 OGLETHORPE ST NE,,20011-2736,N/A,,611610,009507,4
-77.0519632877906,38.898538844291,224,NATIONAL MENS CHORUS,2401 VIRGINIA AVE NW,,20037-2637,WESTERN PRESBYTERIAN CHURCH,,711130,005600,2
-77.0350025865791,38.9239947161979,225,ORFELIN CIRCLE,2633 15TH ST NW,10,20009-4669,SVETLANA DOROSLOVACKI,,710000,003700,1
-77.0354717637617,38.9016133539118,226,AMERICAN ASSOCIATION OF MUSEUMS,1575 EYE STREET NW,400,20005-1113,,,813920,010100,2
-77.0825842752703,38.9537526645372,227,DC ARTIST COLLECTIVE INC,4908 WISCONSIN AVE NW,,20016-4153,NANCY NEWELL,,813219,001001,3
-77.0249121045254,38.8981244424115,228,AMBASSADOR THEATER INTERNATIONAL CULTURAL CENTER,916 G STREET NW,,20001-4571,HANNA BONDAREWSKA,,711110,005800,2
-77.030405041011,38.8976227271703,229,DC FILM ALLIANCE,1317 F ST NW,920,20004-1151,JONATHAN GANN,,512110,005800,2
-77.0291081431682,38.8995676928653,230,CULTURAL TOURISM DC INC,1250 H STREET NW,,20005-3952,DOWNTOWN D C BUSINESS IMPROVEMENT,,712120,005800,2
-77.0236459182447,38.8954553466453,231,CORPORATION FOR PUBLIC BROADCASTING,401 9TH STREET NW,,20004-2128,WILLIAM P TAYMAN JR,,510000,005800,2
-77.0426465203807,38.9066625700117,232,STONE SOUP PRODUCTIONS INC,1823 JEFFERSON PL NW,,20036-2504,,,512110,010700,2
-77.0424362755085,38.9028694991423,233,WOMENS MEDIA CENTER,1825 K ST NW,400,20006-1254,EQUALITY NOW,,514120,010700,2
-77.0941045936485,38.9503817997427,234,REEL VIDEO,4619 48TH ST NW,,20016-4442,,,512110,001001,3
-77.0829388582766,38.929715942396,235,AMERICAN YOUTH SYMPHONY,4200 CATHEDRAL AVE NW,1016,20016-4933,,,711130,000801,3
-77.041262284137,38.9113907374479,236,ALT WASHINGTONIA,1601 18TH STREET NW,,20009-2529,C/O MIKE LEGGETT,SCHUHPLATTLER VEREIN ALT WSHG INC, ,005301,2
-77.0421489215843,38.9312332412432,237,COMPANY E INC,1814 LAMONT ST NW,,20010-2604,PAUL GORDON EMERSON,,711120,002702,1
-77.0263112599611,38.9347621094386,238,PARAGUAYAN CULTURAL CENTER INC,3618 ROCK CREEK CHURCH ROAD NW,,20010-1677,SADY ACOSTA,,710000,002900,1
-77.0391235030823,38.9209235524683,239,PATRICIA M SITAR CENTER FOR THE ARTS,1700 KALORAMA RD NW,101,20009-3574,RHONDA M BUCKLEY,,710000,003800,1
-77.070889791516,38.966991223242,240,ART RESOURCES INTERNATIONAL,5813 NEVADA AVE NW,,20015-2547,,,541618,001401,3
-77.0613702746751,38.9044988062178,241,TEXTILE RENTAL EDUCATION AND RESEARCH TRUST,1054 31ST STREET NW,,20007-4403,STEVEN JOHN FELLMAN TRUSTEE,,710000,000100,2
-77.0151123717927,38.9618451433586,242,TAP AND ALL THAT INCORPORATED,5910 2ND PL NW,,20011-2208,RITA MICHELLE WILSON,,710000,001902,4
-77.0330541726489,38.9491941108805,243,THEATER UNLIMITED DC,1401 DELAFIELD PL NW,,20011-4346,CHRISTOPHER GERKEN,,711110,002002,4
-77.0331488919017,38.9532039373675,244,CHOWAN DISCOVERY GROUP INC,5203 14TH ST NW,,20011-6929,MARVIN T JONES,,710000,002002,4
-77.0339137652405,38.9427430326026,245,ARIA CLUB OF GREATER WASHINGTON,1414 VARNUM ST NW,,20011-7028,ARIA CLUB OF GREATER WASHINGTON,,710000,002501,4
-77.0196832625978,38.9143425431073,246,VENEZUELAN SOUNDS FOUNDATION,1807 6TH ST NW,,20001-5107,TIMI GERSON,,711130,004801,6
-77.0564529839265,38.9753106273128,247,BRIDGING THE GAP,6451 31ST ST NW,,20015-2341,SULTANA MILLER,,510000,001500,4
-77.0472423414755,38.9124227202481,248,STUDIO GALLERY ASSOCIATION INC,2108 R ST NW,,20008-1900,,,710000,005500,2
-77.0375789759548,38.9093496984862,249,PINCHOT INSTITUTE FOR CONSERVATION,1616 P ST NW,100,20036-1432,V ALARIC SAMPLE,,514120,005301,2
-77.02734165718,38.9048695378433,250,THE ESSENTIAL THEATRE,1112 11TH ST NW,100,20001-4301,S ROBERT MORGAN,,711110,005002,2
-77.0195626387342,38.8933146322873,251,MCLEAN DRAMA COMPANY,565 PENNSYLVANIA AVE NW,602,20001-4935,RACHAEL BAIL,,711100,005900,2
-77.0284924666229,38.9149365383527,252,IKG CULTURAL CIRCLES INC,1816 12TH ST NW,,20009-4422,ANTHONY T BROWDER,IKG CULTURAL CIRCLES,712110,004400,1
-77.027517360033,38.9168555473646,253,TAYITU ENTERTAINMENT INC,1108 U STREET NW,2nd Floor,20009-4441,ALEMTSEHAY WEDAJO,,710000,004400,1
-77.0223822955259,38.8944459376541,254,US NAVY MEMORIAL FOUNDATION,701 PENNSYLVANIA AVE NW,123,20004-2688,,,712120,005800,2
-77.0460327512862,38.9005214599138,255,HUNGRY FOR MUSIC INC,2020 PENNSYLVANIA AVE NW,384,20006-1811,,,711130,010800,2
-77.0217137359628,38.8956599415069,256,WASHINGTON ARCHITECTURAL FOUNDATION,421 7TH ST NW,,20004-2229,MARY FITCH,,710000,005800,2
-77.0252666886966,38.9020233648507,257,TOUCHSTONE FOUNDATION FOR THE ARTS,901 NEW YORK AVENUE NW,,20001-4432,KSENIA GRISHKOVA,,813219,010100,2
-77.0326885373941,38.8866887377337,258,UNITED STATES HOLOCAUST MEMORIAL COUNCIL,100 RAOUL WALLENBERG PL SW,,20024-2126,,,712110,006202,2
-76.9246665900607,38.8894943189626,259,MULTI-MEDIA TRAINING INSTITUTE,5327 E CAPITOL ST SE,,20019-6613,LYN DYSON,,611610,009903,7
-76.9838587787215,38.895883261663,260,AMERICAN MUSEUM OF PEACE INC,438 15TH ST NE,,20002-5568,JEANNE AND RICHARD BOARDMAN,,712110,008001,6
-77.0329606642369,38.9316136419386,261,DANCE INSTITUTE OF WASHINGTON INC,3400 14TH ST NW,,20010-3514,,,611610,002802,1
-76.9694606478473,38.851214744752,262,STR8-N-UP PRODUCTIONS,2627 JASPER ST SE,5,20020-2022,KATHY JUDKINS-WRIGHT,,711110,007408,8
-77.070882367451,38.930523814819,263,CATHEDRAL CHORAL SOCIETY OF WASHINGTON DC WASHINGTON CATHEDRAL,3101 Wisconsin Ave NW,,20016-0000,,,711130,000400,3
-77.0398267662522,38.8993440956392,264,VERNISSAGE FOUNDATION,1701 PENN AVE NW,300,20006-5813,DANIEL MCGROARTY,,712110,010700,2
-77.0008386927115,38.9135464199053,265,BEYOND MASK EXPRESSIONS,336 RANDOLPH PL NE,,20002-2141,,,711100,008702,5
-76.9952232005702,38.9302338858029,266,DC WHEEL PRODUCTIONS INC,725 KEARNY ST NE,,20017-3515,,DANCE PLACE,611610,009201,5
-76.9886530926546,38.9284133933899,267,ARTS GROUP,1249 IRVING ST NE,,20017-2428,JOHNNY WEST,JOHN AUTHOR,710000,009301,5
-77.0565471218693,38.9307716114159,268,PATRONS OF THE ARTS IN THE VATICAN MUSEUMS,3100 CONNECTICUT AVE NW,344,20008-5127,RONALD MARCHESSAULT,,712110,000502,3
-77.042696300186,38.9216213477626,269,DISTRICT OF COLUMBIA ARTS CENTER INC,2438 18TH ST NW,,20009-2004,,,710000,004002,1
-77.0229450507893,38.9026295658455,270,HISTORICAL SOCIETY OF WASHINGTON DC,801 K ST NW,,20001-3746,,, ,005800,2
-77.0338196371861,38.9030828366849,271,WASHINGTON BACH CONSORT,1010 Vermont Avenue NW,202,20005-0000,,,711130,010100,2
-77.0468774399988,38.9070471369603,272,NOW & NEXT DANCE MENTORING PROJECT,1280 21ST ST NW,301,20036-2378,ASHLEY THORNDIKE,,711120,005500,2
-77.0476512719352,38.9058135806387,273,PUBLIC MEDIA PLATFORM,1200 NEW HAMPSHIRE AVE NW,,20036-6802,KRISTIN CALHOUN,,510000,005500,2
-76.9461347973169,38.9052248894429,274,WASHINGTON ENRICHMENT & CULTURAL ARTS NETWORK,1145 40TH ST NE,,20019-1902,JOHNICE GALLOWAY-MILLER,,813219,009601,7
-77.0264942007106,38.9326283610477,275,NICH CULTURAL ARTS,770 PARK RD NW,,20010-1518,AKUA K ALLRICH,,710000,003100,1
-77.0209928518981,38.9765028075999,276,TAKOMA THEATRE CONSERVANCY,7124 PINEY BRANCH RD NW,,20012-1838,,LORETTA NEUMANN,711110,010300,4
-77.0273916118433,38.9488175875295,277,JONES-HAYWOOD INC,1200 DELAFIELD PL NW,,20011-4418,JOE GREEN,,611610,002002,4
-77.0411441129855,38.9049954827029,278,BOASBERG HISTORIC PRESERVATION FUND INC,1140 CONNECTICUT AVE NW,1210,20036-4003,TERSH BOASBERG,, ,010700,2
-77.0376043555789,38.9017231293695,279,VICE PRESIDENTS RESIDENCE FOUNDATION,1625 EYE ST NW,,20006-4061,,, ,010700,2
-77.0343148019489,38.8999948071798,280,TURKISH CULTURAL FOUNDATION,1510 H ST NW,900,20005-1014,DR YALCIN AYASLI,,710000,010100,2
-77.0283326682765,38.9167469822608,281,AFRICAN-AMERICAN CIVIL WAR MEMORIAL FREEDOM FOUNDATION,1200 U ST NW,,20009-4443,FRANK SMITH JR,,712120,004400,1
-77.0445450077892,38.9123244177395,282,BALLET TEATRO INTERNACIONAL,1643 CONNECTICUT AVE NW,,20009-1013,,,710000,004202,2
-77.0368814769905,38.9143482892365,283,ACTORS CENTER INC,1810 16TH ST NW,,20009-3304,,,813219,004201,2
-77.0112626594672,38.9115217960372,284,PEOPLE USING EDUCATION AND ARTS TO REALLY IMPROVE THEIR LIVES,42 FLORIDA AVE NW,,20001-1142,KIMBERLY NIONO,PEARLS DC,611610,004600,5
-77.0315860201341,38.9152106774337,285,CONSTELLATION THEATRE COMPANY,1835 14TH ST NW,,20009-4425,ALLISON STOCKMAN,,711110,004400,1
-76.987219242043,38.8999803210818,286,AFRICAN CONTINUUM THEATRE COALITION,1333 H ST NE,,20002-4446,,,711100,008402,6
-77.045148302097,38.9131080018956,287,CULTURAL LANDSCAPE FOUNDATION,1711 CONNECTICUT AVENUE NW,200,20009-1139,CHARLES A BIRNBAUM,,813219,004202,2
-77.0822850937293,38.9601327107888,288,TENLEYTOWN HISTORICAL SOCIETY,5332 42ND ST NW,,20015-1934,J WALDMANN,, ,001100,3
-77.0743544628155,38.9562256436864,289,KNAUER FOUNDATION FOR HISTORIC PRESERVATION,5119 38TH ST NW,,20016-4203,,, ,001100,3
-77.0526196505072,38.9436417119432,290,HILLWOOD MUSEUM AND GARDENS FOUNDATION,4155 LINNEAN AVE NW,,20008-3806,,,712110,001302,3
-77.0302141657999,38.8949473818533,291,TRUST FOR THE NATIONAL MALL,1300 PENNSYLVANIA AVE NW,3,20004-3027,AKRIDGE,,712120,006202,2
-77.020393690231,38.8790153944297,292,DC BLACK HISTORY CELEBRATION COMMITTEE,905 6TH ST SW,302B,20024-3812,,,710000,010200,6
-77.0486742924563,38.9170228706226,293,ALLIANCE FRANCAISE DE WASHINGTON INC,2142 WYOMING AVE NW,,20008-3906,ALLIANCE FRANCAISE OF CHICAGO,,710000,004100,2
-77.0226972486233,38.8992414803297,294,THE WASHINGTON YOUTH CHOIR,733 8TH ST NW,,20001-3721,JOYCE GARRETT,,711130,005800,2
-76.9934030632608,38.8914276594124,295,NATIONAL CIVIC ART SOCIETY,904 MASSACHUSETTS AVE NE,,20002-6228,HOWARD SEGERMARK,,813920,008100,6
-77.0750535590777,38.9633964941365,296,DEFIANT REQUIEM FOUNDATION,5506 CONNECTICUT AVENUE NW,24,20015-2600,,,710000,001100,3
-76.9750933852278,38.8984527092262,297,ASSOCIATION FOR THE PRESERVATION AND PRESENTATION OF THE ARTS INC,2011 BENNING RD NE,,20002-4725,,,813920,007903,7
-77.036901557247,38.9063592328699,298,AMERICAN HELLENIC INSTITUTE FOUNDATION INC,1220 16TH ST NW,,20036-3202,,,710000,010700,2
-77.0237397973536,38.9243413946632,299,EMERGENCE COMMUNITY ARTS COLLECTIVE,733 EUCLID ST NW,,20001-2211,SYLVIA ROBINSON,,710000,003500,1
-76.9729019477399,38.933896232639,300,BLACK WOMEN PLAYWRIGHTS GROUP,2229 NEWTON ST NE,,20018-3072,,,711110,009400,5
-76.9591908231625,38.8754637104569,301,THE AFRICAN DIASPORA ANCESTRAL COMMEMORATION INSTITUTE,3243 M ST SE,,20019-2930,EURICA HUGGINS AXUM,ADACI,712120,009901,7
-76.9880689599175,38.8801387416265,302,MOVIES ON THE MALL,744 13TH ST SE,,20003-2907,JESSE B RAUCH,,512110,007100,6
-76.9956333571496,38.8975473293706,303,THE ST DAVIDS WELSH-AMERICAN SOCIETY OF WASHINGTON DC,712 F ST NE,,20002-5240,DAVID E JONES,,710000,008302,6
